1;'m;czasownik (być);A1;'M;;
2;'re;czasownik (być);A1;'Odnośnie;;
3;'s;czasownik (być);A1;'S;;
4;A.M.;przysłówek;A1;JESTEM.;;
5;AM;przysłówek;A1;JESTEM;;
6;April;rzeczownik;A1;Kwiecień;;
7;August;rzeczownik;A1;Sierpień;;
8;CD;rzeczownik;A1;płyta CD;;
9;CD player;rzeczownik;A1;odtwarzacz CD;;
10;DVD;rzeczownik;A1;płyta DVD;;
11;December;rzeczownik;A1;Grudzień;;
12;Dr;rzeczownik;A1;dr;;
13;Dr.;rzeczownik;A1;dr.;;
14;E-mail;rzeczownik;A1;E-mail;;
15;February;rzeczownik;A1;Luty;;
16;Friday;rzeczownik;A1;Piątek;;
17;I;zaimek;A1;I;;
18;Internet;rzeczownik;A1;Internet;;
19;January;rzeczownik;A1;Styczeń;;
20;July;rzeczownik;A1;Lipiec;;
21;June;rzeczownik;A1;Czerwiec;;
22;March;rzeczownik;A1;marzec;;
23;May;rzeczownik;A1;Móc;;
24;Miss;rzeczownik;A1;Chybić;;
25;Monday;rzeczownik;A1;Poniedziałek;;
26;Mr;rzeczownik;A1;Pan;;
27;Mr.;rzeczownik;A1;Pan;;
28;Mrs;rzeczownik;A1;Pani;;
29;Mrs.;rzeczownik;A1;Pani.;;
30;November;rzeczownik;A1;Listopad;;
31;OK;przymiotnik, przysłówek;A1;OK;;
32;October;rzeczownik;A1;Październik;;
33;Olympics;rzeczownik;A1;Olimpiada;;
34;P.M.;przysłówek;A1;PO POŁUDNIU.;;
35;PM;przysłówek;A1;PO POŁUDNIU;;
36;Saturday;rzeczownik;A1;Sobota;;
37;September;rzeczownik;A1;Wrzesień;;
38;Sunday;rzeczownik;A1;Niedziela;;
39;T-shirt;rzeczownik;A1;Koszulka;;
40;TV;rzeczownik;A1;telewizja;;
41;Thursday;rzeczownik;A1;Czwartek;;
42;Tuesday;rzeczownik;A1;Wtorek;;
43;Wednesday;rzeczownik;A1;Środa;;
44;a;określnik;A1;A;;
45;a.m.;przysłówek;A1;jestem.;;
46;about;przysłówek, przyimek;A1;o;;
47;above;przysłówek, przyimek;A1;powyżej;;
48;action;rzeczownik;A1;działanie;;
49;activity;rzeczownik;A1;działalność;;
50;actor;rzeczownik;A1;aktor;;
51;add;czasownik;A1;dodać;;
52;address;rzeczownik;A1;adres;;
53;aeroplane;rzeczownik;A1;samolot;;
54;afraid;przymiotnik;A1;przestraszony;;
55;after;przyimek;A1;Po;;
56;afternoon;rzeczownik;A1;popołudnie;;
57;again;przysłówek;A1;Ponownie;;
58;age;rzeczownik;A1;wiek;;
59;ago;przysłówek;A1;temu;;
60;agree;czasownik;A1;zgadzać się;;
61;airplane;rzeczownik;A1;samolot;;
62;airport;rzeczownik;A1;lotnisko;;
63;album;rzeczownik;A1;album;;
64;all;określnik, zaimek;A1;Wszystko;;
65;all right;przymiotnik, przysłówek;A1;W porządku;;
66;almost;przysłówek;A1;prawie;;
67;alone;przysłówek;A1;sam;;
68;along;przysłówek;A1;przed siebie;;
69;already;przysłówek;A1;już;;
70;also;przysłówek;A1;Również;;
71;always;przysłówek;A1;zawsze;;
72;am;przysłówek, czasownik (być);A1;jestem;;
73;an;określnik;A1;jakiś;;
74;and;spójnik;A1;I;;
75;angry;przymiotnik;A1;zły;;
76;animal;rzeczownik;A1;zwierzę;;
77;another;określnik;A1;inny;;
